2025-11-22T14:25:15.303589	reading=80.0	severity=low
2025-11-22T14:25:16.308382	reading=85.0	severity=low
2025-11-22T14:25:17.311925	reading=90.0	severity=low
2025-11-22T14:25:18.316165	reading=110.0	severity=medium
2025-11-22T14:25:19.319112	reading=150.0	severity=high
2025-11-22T14:34:09.045528	reading=80.0	severity=low	baseline=100.0
2025-11-22T14:34:10.049673	reading=85.0	severity=low	baseline=100.0
2025-11-22T14:34:11.053060	reading=90.0	severity=low	baseline=100.0
2025-11-22T14:34:12.055455	reading=110.0	severity=medium	baseline=100.0
2025-11-22T14:34:13.057618	reading=150.0	severity=high	baseline=100.0
2025-11-22T14:37:26.742686	reading=80.0	severity=low	baseline=100.0
2025-11-22T14:37:27.745618	reading=85.0	severity=low	baseline=100.0
2025-11-22T14:37:28.748007	reading=90.0	severity=low	baseline=100.0
2025-11-22T14:37:29.751268	reading=110.0	severity=medium	baseline=100.0
2025-11-22T14:37:30.755747	reading=150.0	severity=high	baseline=100.0
2025-11-22T14:51:17.673287	reading=80.0	severity=low	baseline=100.0
2025-11-22T14:53:00.005466	reading=80.0	severity=low	baseline=100.0
2025-11-22T14:53:10.008598	reading=85.0	severity=low	baseline=100.0
2025-11-22T14:53:20.011605	reading=90.0	severity=low	baseline=100.0
2025-11-22T14:53:30.015287	reading=110.0	severity=medium	baseline=100.0
2025-11-22T14:53:37.885778	reading=150.0	severity=high	baseline=100.0
2025-11-22T14:59:50.562454	reading=80.0	severity=low	baseline=100.0
2025-11-22T15:00:00.565958	reading=85.0	severity=low	baseline=100.0
2025-11-22T15:00:10.569232	reading=90.0	severity=low	baseline=100.0
2025-11-22T15:00:20.573635	reading=110.0	severity=medium	baseline=100.0
2025-11-22T15:00:28.907282	reading=150.0	severity=high	baseline=100.0
2025-11-22T15:00:39.332783	reading=200.0	severity=high	baseline=100.0
2025-11-22T15:00:49.925512	reading=75.0	severity=low	baseline=100.0
2025-11-22T15:00:59.928949	reading=95.0	severity=normal	baseline=100.0
2025-11-22T15:01:04.931297	reading=80.0	severity=low	baseline=100.0
2025-11-22T15:01:14.935817	reading=85.0	severity=low	baseline=100.0
2025-11-22T15:01:24.941516	reading=90.0	severity=low	baseline=100.0
2025-11-22T15:01:34.945043	reading=110.0	severity=medium	baseline=100.0
2025-11-22T15:01:45.328845	reading=150.0	severity=high	baseline=100.0
2025-11-22T15:01:54.868009	reading=200.0	severity=high	baseline=100.0
2025-11-22T15:02:06.277052	reading=75.0	severity=low	baseline=100.0
2025-11-22T15:02:16.280134	reading=95.0	severity=normal	baseline=100.0
2025-11-22T15:02:21.283434	reading=80.0	severity=low	baseline=100.0
2025-11-22T15:25:31.870507	reading=80.0	severity=low	baseline=100.0
2025-11-22T15:25:41.878998	reading=85.0	severity=low	baseline=100.0
2025-11-22T15:25:51.884527	reading=90.0	severity=low	baseline=100.0
2025-11-22T15:26:01.888423	reading=110.0	severity=medium	baseline=100.0
2025-11-22T15:26:27.987205	reading=150.0	severity=high	baseline=100.0
2025-11-22T15:32:24.343812	reading=80.0	severity=low	baseline=100.0
2025-11-22T15:32:47.727219	reading=85.0	severity=low	baseline=100.0
2025-11-22T15:33:05.532836	reading=90.0	severity=low	baseline=100.0
2025-11-22T15:33:21.133757	reading=110.0	severity=medium	baseline=100.0
2025-11-22T15:36:05.344067	reading=80.0	severity=low	baseline=100.0
2025-11-22T15:36:15.350746	reading=85.0	severity=low	baseline=100.0
2025-11-22T15:36:25.354338	reading=90.0	severity=low	baseline=100.0
2025-11-22T15:36:35.360224	reading=110.0	severity=medium	baseline=100.0
2025-11-22T15:41:17.401804	reading=80.0	severity=low	baseline=100.0
2025-11-22T15:41:27.410080	reading=85.0	severity=low	baseline=100.0
2025-11-22T15:41:37.418408	reading=90.0	severity=low	baseline=100.0
2025-11-22T15:41:47.425331	reading=110.0	severity=medium	baseline=100.0
2025-11-22T15:42:17.566582	reading=150.0	severity=high	baseline=100.0
